Hotel_ID,hotel_name,City,ADDRESS
716A24F8-0780-EF11-81A1-005056816226,חיפה הוסטל,חיפה,בן גוריון 1
736A24F8-0780-EF11-81A1-005056816226,ג'אנגל ג'אפה,תל אביב - יפו,שארית ישראל 31
756A24F8-0780-EF11-81A1-005056816226,גרין פלייס בעמ - מלון אדמונד,ראש פינה,הגליל 35
776A24F8-0780-EF11-81A1-005056816226,מלונות פתאל תא 2008 בעמ,תל אביב - יפו,הירקון 156
7D6A24F8-0780-EF11-81A1-005056816226,מלון שורש,שורש,שורש 1
7F6A24F8-0780-EF11-81A1-005056816226,מלון פאבליקה שותפות כללית,הרצליה,שדרות אבא אבן 9
816A24F8-0780-EF11-81A1-005056816226,מלון אגמים אילת - ישרוטל,אילת,קאפמן 7
836A24F8-0780-EF11-81A1-005056816226,מלון רויאל גארדן - ישרוטל בע"מ,אילת,אנטיב 5
856A24F8-0780-EF11-81A1-005056816226,מלון  כרמים -ישרוטל ניהול מלונות בע"מ,קרית ענבים,קרית ענבים 1
876A24F8-0780-EF11-81A1-005056816226,מלון רויאל ביץ תל אביב- ישרוטל ניהול מלונות בע"ב,תל אביב - יפו,הירקון 19
896A24F8-0780-EF11-81A1-005056816226,מלון רויאל ביץ - ישרוטל בע"מ,אילת,הוף הצפוני 1
8B6A24F8-0780-EF11-81A1-005056816226,מלון קדמא - ישרוטל ניהול מלונות בע"מ,שדה בוקר,שדה בוקר 1
8D6A24F8-0780-EF11-81A1-005056816226,מלון פורט טאואר - ישרוטל ניהול מלונות בע"מ,תל אביב - יפו,הירקון 298
8F6A24F8-0780-EF11-81A1-005056816226,מלון ים סוף - ישרוטל בע"מ,אילת,חוף אלמוג 1
916A24F8-0780-EF11-81A1-005056816226,מלון ספורט - ישרוטל בע"מ,אילת,דרך הים 1
936A24F8-0780-EF11-81A1-005056816226,מלון גומא- ישרוטל ניהול מלונות בע"מ,טבריה,מגדל שור 1
956A24F8-0780-EF11-81A1-005056816226,מלון בראשית - ישרוטל ניהול מלונות בע"מ,מצפה רמון,דרך בראשית 1
